SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,1,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
38,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
39,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
40,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
41,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
42,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
43,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
44,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
45,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
46,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
47,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
48,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
49,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
63,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
64,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
65,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
66,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
67,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
68,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
69,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
