PATCH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
12,0.0240291114,0.1235587704,0.005971206,4.98631108139282E-06,0,0,0,0,0,0,0.0970914255,1,0.0891575089,0,0,0,0,0,0,0,0.0131823043,0.0942913072,0.0227541168,0,0,0,0,0,0,0,2.43123024221491E-07,0.0012127639,2.22288950004682E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0296981285,0.0591539043,0.0508778789,0,0,0,0,0,0,0.0010893198,0.0891575089,1,0.0718570166,0.0003783863,0,0,0,0,0,0.0002266842,0.0125279792,0.0401430384,0.0211498825,0.0010084467,0,0,0,0,0,0,0,0.0024587685,2.9346736758221E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0011815789,0.0063759077,0.0652243896,0.049138302,9.29376995158179E-06,0,0,0,0,0,0,0.0718570166,1,0.1148120649,1.82745671333799E-05,0,0,0,0,0,0.0026485256,0.0095408654,0.1085571558,0.0537651328,0,0,0,0,0,0,0,0.0004418475,0.001868526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0.001030201,0.0216006711,0.0144964048,0.0362924977,0.000025601,0,0,0,0,0,0.0003783863,0.1148120649,1,0.0725638934,0.0005195311,0,0,0,0,0,0.0001026193,0.0351884813,0.0753534078,0.0296857458,0.0003275409,0,0,0,0,0,0,0.0027572972,0.0009124019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0.0048757295,0.0137986945,0.0650867025,0.0352664256,0,0,0,0,0,0,1.82745671333799E-05,0.0725638934,1,0.0944281783,0.0020351316,0,0,0,0,0,0.0003420494,0.012869349,0.1040173742,0.0777712086,0,0,0,0,0,0,0,0.0003023205,0.0004540768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.0003502156,0.0185514693,0.0433500736,0.0426026558,0,0,0,0,0,0,0.0005195311,0.0944281783,1,0.1483193251,0.0036427527,0,0,0,0,0,0,0.0319433311,0.0194057127,0.0335751018,0,0,0,0,0,0,0,0.0002849127,0.0003632627,0.0001958704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1.04212320787459E-05,0.0070270626,0.086732257,0.0372607055,0.0018103697,0,0,0,0,0,0.0020351316,0.1483193251,1,0.1091160282,0.0007906556,0,0,0,0,0,4.89335001538518E-06,0.0152198992,0.1488752654,0.0599536177,0.0003804796,0,0,0,0,0,0,0.0005634995,0.0003349548,0.0001781077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0.0104335729,0.0682866422,0.0098771554,0,0,0,0,0,0,0.0036427527,0.1091160282,1,0.2304639598,0,0,0,0,0,0,0,0.0068376178,0.1296862154,0.028802849,0,0,0,0,0,0,0,0,0.0005347031,6.56024677872261E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0.001284232,0.0142787088,0.1841011984,0,0,0,0,0,0,0,0.0007906556,0.2304639598,1,0,0,0,0,0,0,0,7.99873827917462E-05,0.0282012011,0.0392298123,0,0,0,0,0,0,0,0,0.000243122,0.0008349555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0012914772,0,0,0,0,0,0,0,0,0,0.0427735657,0.0131823043,0.0002266842,0,0,0,0,0,0,0,1,0.1238101648,9.59405266003605E-05,0,0,0,0,0,0,0,0.0707677237,0.0060345858,2.38524097801392E-06,0,0,0,0,0,0,0,0.0004272613,0.0002397723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9.5972270301496E-07,0.0047556699,0.000158297,0,0,0,0,0,0,0,0.0359757761,0.0942913072,0.0125279792,0.0026485256,0,0,0,0,0,0,0.1238101648,1,0.0878105813,0.0020615248,0,0,0,0,0,0,0.0032960601,0.1242355571,0.0117972732,0.0007536324,0,0,0,0,0,0,4.8273608710564E-06,0.0006945297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0011355537,0.0003437088,0.0011265694,0,0,0,0,0,0,0.001760841,0.0227541168,0.0401430384,0.0095408654,0.0001026193,0,0,0,0,0,9.59405266003605E-05,0.0878105813,1,0.0560309669,0.0006326566,0,0,0,0,0,5.54144635048308E-06,0.0176693042,0.0364446232,0.0146948679,5.8403774541202E-05,0,0,0,0,0,0,0.0002030404,0.0019910386,0.0002765479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0.0003893329,0.0001821762,7.16562977048334E-07,0,0,0,0,0,0,0,0.0211498825,0.1085571558,0.0351884813,0.0003420494,0,0,0,0,0,0.0020615248,0.0560309669,1,0.0994489096,0.0019992041,0,0,0,0,0,0,0.0171485222,0.0659553634,0.0141883837,3.77780746437155E-06,0,0,0,0,0,0,0,2.35184063402337E-05,0.0029822898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0.000217272,0.000144967,3.57288496380711E-06,0,0,0,0,0,0,0.0010084467,0.0537651328,0.0753534078,0.012869349,0,0,0,0,0,0,0.0006326566,0.0994489096,1,0.0830288712,4.16720590806549E-05,0,0,0,0,0,1.83991231924027E-05,0.0024383719,0.0442086796,0.030670796,0,0,0,0,0,0,0,0,0.0002646728,0.0005830465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0.0004024804,6.80177955976141E-05,0,0,0,0,0,0,0,0.0296857458,0.1040173742,0.0319433311,4.89335001538518E-06,0,0,0,0,0,0.0019992041,0.0830288712,1,0.0537112062,0,0,0,0,0,0,0,0.0288941335,0.0543234055,0.0038353309,7.7025678019464E-06,0,0,0,0,0,0,0.0004631186,0.0025129346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0.0001466036,0.0013895509,0.0002318144,0,0,0,0,0,0,0.0003275409,0.0777712086,0.0194057127,0.0152198992,0,0,0,0,0,0,4.16720590806549E-05,0.0537112062,1,0.0864462411,0.0011012757,0,0,0,0,0,0.001396583,0.0435044651,0.1305411602,0.0130448195,7.63247273845789E-05,0,0,0,0,0,0,0.0004381972,0.0007304966,9.55475188318993E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
