NAME,GRASS,,,,,,,,,,,,,,,,,,,,
FLAMMABILITY,1,,,,,,,,,,,,,,,,,,,,
FFDI,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
STARTS_PER_KM^2_PER_HOUR_POISSON_PARAMETER,TIME_STEP,,,,,,,,,,,,,,,,,,,,
,1,5.78217232520116E-06,1.15643446504023E-05,1.73465169756035E-05,2.31286893008046E-05,2.89108616260058E-05,0.000034693,4.04752062764081E-05,4.62573786016092E-05,5.20395509268104E-05,5.78217232520115E-05,6.36038955772127E-05,6.93860679024138E-05,7.5168240227615E-05,8.09504125528161E-05,8.67325848780173E-05,9.25147572032185E-05,9.82969295284196E-05,0.0001040791,0.0001098613,0.0001156434
,2,6.54508497187474E-06,1.30901699437495E-05,1.96352549156242E-05,2.61803398874989E-05,3.27254248593737E-05,3.92705098312484E-05,4.58155948031232E-05,5.23606797749979E-05,5.89057647468726E-05,6.54508497187474E-05,7.19959346906221E-05,0.000078541,8.50861046343716E-05,9.16311896062463E-05,9.8176274578121E-05,0.0001047214,0.0001112664,0.0001178115,0.0001243566,0.0001309017
,3,0.00000727,1.45399049973955E-05,2.18098574960932E-05,2.90798099947909E-05,3.63497624934887E-05,4.36197149921864E-05,5.08896674908841E-05,5.81596199895819E-05,6.54295724882796E-05,7.26995249869773E-05,7.99694774856751E-05,8.72394299843728E-05,9.45093824830705E-05,0.0001017793,0.0001090493,0.0001163192,0.0001235892,0.0001308591,0.0001381291,0.000145399
,4,7.93892626146237E-06,1.58778525229247E-05,2.38167787843871E-05,3.17557050458495E-05,3.96946313073118E-05,4.76335575687742E-05,5.55724838302366E-05,6.35114100916989E-05,7.14503363531613E-05,7.93892626146237E-05,8.7328188876086E-05,9.52671151375484E-05,0.000103206,0.000111145,0.0001190839,0.0001270228,0.0001349617,0.0001429007,0.0001508396,0.0001587785
,5,8.53553390593274E-06,1.70710678118655E-05,2.56066017177982E-05,3.4142135623731E-05,4.26776695296637E-05,5.12132034355964E-05,5.97487373415292E-05,6.82842712474619E-05,7.68198051533946E-05,8.53553390593274E-05,9.38908729652601E-05,0.0001024264,0.0001109619,0.0001194975,0.000128033,0.0001365685,0.0001451041,0.0001536396,0.0001621751,0.0001707107
,6,9.04508497187474E-06,1.80901699437495E-05,2.71352549156242E-05,3.61803398874989E-05,4.52254248593737E-05,5.42705098312484E-05,6.33155948031232E-05,7.23606797749979E-05,8.14057647468726E-05,9.04508497187474E-05,9.94959346906221E-05,0.000108541,0.0001175861,0.0001266312,0.0001356763,0.0001447214,0.0001537664,0.0001628115,0.0001718566,0.0001809017
,7,0.000009455,1.89100652418837E-05,2.83650978628255E-05,3.78201304837674E-05,4.72751631047092E-05,5.6730195725651E-05,6.61852283465929E-05,7.56402609675347E-05,8.50952935884765E-05,9.45503262094184E-05,0.0001040054,0.0001134604,0.0001229154,0.0001323705,0.0001418255,0.0001512805,0.0001607356,0.0001701906,0.0001796456,0.0001891007
,8,9.75528258147577E-06,1.95105651629515E-05,2.92658477444273E-05,3.90211303259031E-05,4.87764129073788E-05,5.85316954888546E-05,0.000068287,7.80422606518061E-05,8.77975432332819E-05,9.75528258147577E-05,0.0001073081,0.0001170634,0.0001268187,0.000136574,0.0001463292,0.0001560845,0.0001658398,0.0001755951,0.0001853504,0.0001951057
,9,9.93844170297569E-06,1.98768834059514E-05,2.98153251089271E-05,3.97537668119027E-05,4.96922085148784E-05,5.96306502178541E-05,6.95690919208298E-05,7.95075336238055E-05,0.000089446,9.93844170297569E-05,0.0001093229,0.0001192613,0.0001291997,0.0001391382,0.0001490766,0.0001590151,0.0001689535,0.000178892,0.0001888304,0.0001987688
,10,0.00001,0.00002,0.00003,0.00004,0.00005,0.00006,0.00007,0.00008,0.00009,0.0001,0.00011,0.00012,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002
,11,9.93844170297569E-06,1.98768834059514E-05,2.98153251089271E-05,3.97537668119027E-05,4.96922085148784E-05,5.96306502178541E-05,6.95690919208298E-05,7.95075336238055E-05,0.000089446,9.93844170297569E-05,0.0001093229,0.0001192613,0.0001291997,0.0001391382,0.0001490766,0.0001590151,0.0001689535,0.000178892,0.0001888304,0.0001987688
,12,9.75528258147577E-06,1.95105651629515E-05,2.92658477444273E-05,3.90211303259031E-05,4.87764129073788E-05,5.85316954888546E-05,0.000068287,7.80422606518061E-05,8.77975432332819E-05,9.75528258147577E-05,0.0001073081,0.0001170634,0.0001268187,0.000136574,0.0001463292,0.0001560845,0.0001658398,0.0001755951,0.0001853504,0.0001951057
,13,0.000009455,1.89100652418837E-05,2.83650978628255E-05,3.78201304837674E-05,4.72751631047092E-05,5.6730195725651E-05,6.61852283465929E-05,7.56402609675347E-05,8.50952935884766E-05,9.45503262094184E-05,0.0001040054,0.0001134604,0.0001229154,0.0001323705,0.0001418255,0.0001512805,0.0001607356,0.0001701906,0.0001796456,0.0001891007
,14,9.04508497187474E-06,1.80901699437495E-05,2.71352549156242E-05,3.61803398874989E-05,4.52254248593737E-05,5.42705098312484E-05,6.33155948031232E-05,7.23606797749979E-05,8.14057647468726E-05,9.04508497187474E-05,9.94959346906221E-05,0.000108541,0.0001175861,0.0001266312,0.0001356763,0.0001447214,0.0001537664,0.0001628115,0.0001718566,0.0001809017
