SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,5,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,2.8211199051,4.1623255129,5.0970091962,1.3877502845,1.0084191792,0.9531947282,1.016915408,1.3109393425,1.4438944404,1.5998884941,1.8882943015,2.0149491022,2.061293989,1.9869164922,1.917484049,1.2236937342,1.1779362135,1.4059228721,2.301762112,3.1310078993,3.3558495763
30,0.1910947978,0.2132914688,0.4224071369,0.7707311643,1.077640953,1.2496635428,1.4523375318,1.4476830028,1.7757703864,1.6188472944,1.8147983313,2.4229464704,2.3628874083,2.0217922071,1.0611936392,0.4240874264,0.3179040566,0.2819415073,0.2615591792,0.2530534079,0.2470499554
37,0.9267763508,1.6869982147,2.4267150735,3.4722876325,4.8244513162,6.7048588976,7.9697245656,9.5301645632,10.970014961,11.9959154835,11.3420695154,8.467967935,8.8829173403,7.0605944963,4.9005177597,4.2056530584,3.9399561687,2.9656040355,2.3146863891,1.5468401848,0.8622373856
38,0.7187595631,0.4748205282,0.5414587559,0.725148816,1.0120638059,1.6518429734,2.5782003536,3.7184674893,4.7197301114,5.9192610482,7.0671099384,7.7360530693,7.5929608805,7.6321654943,6.9479845045,4.4484317493,3.6938217185,2.8654104922,1.2386866758,1.161789729,1.4834963286
39,0.4218890317,0.3899241844,0.3764376094,0.6045850297,0.756885753,1.0182719687,1.3945154989,1.8697730172,2.6871658271,3.7388835182,4.4266232276,4.9498983564,5.610428187,5.9464062311,4.6784976447,2.9630734054,1.5482372757,1.1888744775,1.2631973554,1.1551452463,0.7648894927
40,0.5261020209,0.7619226243,1.1045239389,1.4748815879,2.2470817999,2.2718459967,2.9213378668,3.8412612619,5.3898655085,7.2945536432,8.1444912052,7.6034266259,7.3334894549,5.7256850666,3.0861772637,1.6023342235,1.3185960329,1.836025322,1.1028677102,1.0887751063,1.0291416693
PATH_7_19/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.5465660438,0.5673095788,0.5988344298,0.647381101,1.1512863356,2.5914300598,4.252341915,5.8228502176,6.278492287,5.1929911986,4.588393074,3.9369246388,4.1603527652,3.9216397502,2.7939597922,1.2531869542,0.8159598488,0.6642277908,0.6158941714,0.5753135226,0.5637242136
9,0.9878987294,0.981037016,1.0044045846,1.1489229208,1.8951631178,4.2264183678,6.5303132486,9.250197594,11.9057909096,12.9217884386,11.7780180002,11.1642299488,9.5546210096,7.8300971146,5.0399941068,2.909394293,2.4432397202,2.1494562708,1.692389866,1.4011616632,1.2641015744
