SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16,1.0236647944,1.0236647944,1.0236647944,1.0236647944,1.0236647944,1.3977853956,2.7894630548,3.4011347429,4.3409322268,5.5956478382,7.2931031226,5.878048456,4.4090111845,3.0901825649,2.0865266164,1.5798982812,1.216305662,2.0446224047,2.2192097267,1.9063514003,1.8167172316
17,0.7248588416,0.6702675323,0.6155258448,0.8263983611,1.8415390379,3.1029139556,4.5096595175,6.8072053104,8.4712803118,10.1389217444,11.8727001034,9.569082644,7.1775849959,5.0306173164,3.3967303571,2.5719722005,1.9800669367,3.3285130112,3.2347632597,2.2692190565,1.4376009889
18,1.0790073121,0.898095798,0.823939201,1.124559567,1.9525212047,3.1627486104,4.6782376241,6.5118361228,8.3847238671,10.5853552213,13.3341906611,10.7470054255,8.0611222373,5.6498698573,3.8148567564,2.8885735677,2.2238067015,3.7382420783,3.0211730223,2.6987134891,2.2911987998
25,0.3897339413,0.4109595518,0.6187350134,0.9021412166,1.2451277521,1.4772636379,2.0106420452,2.3789994372,2.8917277291,3.3703377042,3.9167036201,3.1567596508,2.3678247485,1.6595582203,1.120552694,0.8484719348,0.6532073809,1.098048367,0.7748593954,0.5142664866,0.4659608359
26,0.5262827503,0.5280645956,0.5334464103,0.520973208,0.5373655646,0.6186245936,0.7891675189,1.0002233623,1.1630470604,1.429126384,1.7205832589,1.3867446543,1.0401705152,0.7290334853,0.4922517487,0.3727283829,0.2869498929,0.4823657394,0.630290015,0.5968584927,0.6077113736
27,0.4108332098,0.4150783578,0.4173341903,0.4376796791,0.4654605365,0.4934725906,0.5921069732,0.7498755928,1.008629055,1.4316276839,1.9906715368,1.6044286714,1.203451113,0.8434733984,0.5695228871,0.4312373604,0.3319938057,0.5580850231,0.5868718226,0.5872005629,0.6465214885
28,0.2393872603,0.2393872603,0.2393872603,6.4426973627,0.9786387511,1.2064320657,1.4977549659,1.7842663058,2.1847628727,2.4377300467,2.9448188306,2.3734461846,1.780276371,1.2477580056,0.8425004785,0.6379334188,0.4911215099,0.8255803404,0.2398191456,0.2398191456,0.2398191456
29,0.4921731036,0.5144973945,0.5416773295,0.5772702289,0.6233265203,0.6888272343,0.7610434797,0.9009686759,1.2008807094,1.7234622647,2.4443401572,1.9700735949,1.4777143433,1.0356986881,0.6993156016,0.52951518,0.4076542897,0.6852710796,0.6913377383,0.5884714849,0.5682312532
30,0.337973067,0.3603393437,0.384293356,0.4410226386,0.5792511848,0.7865577991,0.9112763587,0.9931544679,1.6858011821,2.2919452928,2.4084058064,2.5143661954,2.1788549568,1.5928199489,0.9285280664,0.4197494516,0.1684835569,0.0613673182,0.8227653305,0.9449774085,1.0775023693
37,1.3535718725,1.0936456119,2.3023671491,3.3364531068,5.0312859292,7.6546246304,11.3029731256,16.1771844777,19.8075561199,22.0599249152,23.1808548926,23.0304749035,19.1162993025,16.1265844553,12.8597456603,9.9723871808,8.8546503144,8.0349587577,8.1022513496,6.9217319714,6.5437868254
