SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,1.0072682571,1.0541470649,1.0386086393,1.2097841686,1.3910821516,1.5502744358,1.6350149869,1.8913142743,1.8965604774,1.8749874585,1.8460200007,1.6496645606,1.6180018639,1.6359144925,1.5031636252,1.9256469142,1.741961837,1.6630312155,1.6410587165,1.5208837682,1.4129809086
30,0.3331210046,0.3319969563,0.3480846861,0.380085338,0.5534524281,1.0520603947,1.5144926859,1.8436374996,1.8314729285,1.8907442263,1.8433425412,1.7159219598,1.2263723738,0.8866105318,0.6811454056,0.8774112416,0.9498706345,0.7931765251,0.8869302072,0.9806838892,0.8401917793
37,1.8822013703,1.6387532553,1.5459174323,1.7055929144,3.0292046833,5.067874304,7.2452452913,11.3877773215,16.0608246235,19.6566419522,22.6560720739,21.6760782933,5.728919098,4.1417436631,3.1819266364,4.0987697751,4.4372591348,3.7052727539,4.1432370061,4.5812012583,3.9249014679
38,0.8328230671,0.7529216826,0.7424096763,1.4037341505,2.2962237739,3.6340798261,5.6305432876,6.7261030624,9.3684338411,11.004518225,13.5227835891,17.1932340319,16.4791498469,14.3645869225,10.9856067222,7.0621951871,4.6299493855,3.0304342806,2.7484534781,2.1986386687,1.3675193182
39,1.3186361549,1.1067391471,1.0226711578,1.1177055707,1.8879243281,2.8968906915,3.9102370019,5.1090730393,6.9113016119,10.2604632157,13.1184283567,15.9547722715,15.797283367,15.2274235997,12.9762139641,7.8770855899,4.6667270794,4.7056221053,4.0167142334,3.3278063616,2.5109805561
40,0.6636097932,0.7407285683,1.4966875647,3.8000648868,4.431174077,5.9499640615,6.8379483833,10.0050808331,14.8592284319,16.0203419009,6.465086219,7.8629067092,7.7852922787,7.5044512794,6.394999446,3.8820227628,2.2998786218,2.3190470533,1.9795362013,1.6400253493,1.2374733732
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
9,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
