SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
27,0.4681962244,0.4570247244,0.5005199665,0.6245413192,1.0599929022,1.4872402362,2.0057583367,2.2407087276,3.0291201932,2.9863509143,3.2880747531,4.0694270356,3.4732203282,3.9322516945,3.8260089568,3.0325450336,1.9588591003,2.0687244551,1.4995947503,1.1312745361,0.8358174133
28,0.5599315643,0.6509901878,0.7913849957,0.9111655185,1.1357228161,1.1745079461,1.195876382,1.5368414299,1.7934825541,2.0727148933,1.9852588142,1.8109820924,1.6867933333,1.3850265244,1.4626052899,2.4408816125,3.3570052793,3.2890188244,2.5700776719,1.9238648798,1.7971572681
29,5.6422398102,8.3246510257,10.1940183923,2.775500569,2.0168383584,1.9063894564,2.0338308159,2.621878685,2.8877888808,3.1997769881,3.7765886029,4.0298982043,4.122587978,3.9738329843,3.834968098,2.4473874683,2.3558724269,2.8118457441,4.603524224,6.2620157985,6.7116991525
30,0.3821895955,0.4265829375,0.8448142738,1.5414623285,2.155281906,2.4993270855,2.9046750635,2.8953660056,3.5515407728,3.2376945887,3.6295966625,4.8458929407,4.7257748166,4.0435844142,2.1223872784,0.8481748528,0.6358081131,0.5638830145,0.5231183584,0.5061068157,0.4940999107
37,1.8535527015,3.3739964294,4.853430147,6.9445752649,9.6489026323,13.4097177952,15.9394491312,19.0603291264,21.940029922,23.991830967,22.6841390308,16.9359358699,17.7658346805,14.1211889925,9.8010355194,8.4113061168,7.8799123373,5.9312080709,4.6293727782,3.0936803696,1.7244747711
38,1.4375191261,0.9496410563,1.0829175118,1.4502976319,2.0241276118,3.3036859468,5.1564007071,7.4369349786,9.4394602227,11.8385220964,14.1342198767,15.4721061385,15.1859217609,15.2643309885,13.895969009,8.8968634985,7.387643437,5.7308209844,2.4773733516,2.323579458,2.9669926572
39,0.8437780633,0.7798483688,0.7528752187,1.2091700593,1.513771506,2.0365439374,2.7890309977,3.7395460343,5.3743316541,7.4777670363,8.8532464552,9.8997967127,11.220856374,11.8928124621,9.3569952893,5.9261468108,3.0964745514,2.3777489549,2.5263947108,2.3102904925,1.5297789853
40,1.0522040417,1.5238452485,2.2090478778,2.9497631758,4.4941635998,4.5436919934,5.8426757336,7.6825225237,10.779731017,14.5891072864,16.2889824104,15.2068532517,14.6669789097,11.4513701331,6.1723545274,3.204668447,2.6371920657,3.672050644,2.2057354203,2.1775502126,2.0582833385
PATH_8_21/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2623837084,0.265057814,0.2816845896,0.3270352517,0.7512721491,1.1545638914,1.5924802228,2.1430342303,2.8618340325,3.0076609674,3.1824224688,2.9971525545,2.6629450964,2.2479365115,1.4476661231,0.8636503232,0.572182484,0.3418383513,0.2949771714,0.2792920388,0.2617364204
9,0.4369547371,0.4427165013,0.4916905785,0.8414946141,1.6169543263,2.6071934447,3.6072450401,4.4342759055,5.1932740385,5.2836351395,5.3563047993,4.773664907,4.2656489831,3.4137600378,2.3903130347,1.3757985611,1.0928777275,0.8711198895,0.7418254988,0.6599961744,0.5934268999
15,0.610072964,0.6000141352,0.7177783843,1.3384663834,2.9938160247,4.9287603654,5.3173700033,4.8696132031,4.8030403663,4.4633682111,4.1597031336,4.2382230073,4.0166321279,3.728606207,2.9952142073,1.9920345819,1.5733304452,1.3394500615,1.0365217143,0.8473507104,0.7511814746
16,0.8633249732,0.9626704895,1.3462809021,1.9111514301,2.817770314,3.8224283081,4.8063401139,6.0934590161,9.6564482383,11.349865611,11.5643362775,11.4525899785,11.0650988099,7.4291830769,4.8912891736,3.6326990191,3.0037031279,2.5831921547,2.0709859201,1.6612407846,1.3561431934
17,0.7036098037,0.6624161252,0.6729452313,1.0970652581,1.6398727828,2.0948640682,3.1664106755,4.7173569161,7.8799272165,10.9731202355,11.1185920583,10.5088595425,11.1585795384,11.8401780499,9.1077770311,3.803146184,2.3467436054,1.6589562961,1.580401087,1.3818299443,1.1921503191
18,1.0134381817,1.1531631021,1.6613303385,2.5928786079,3.9209685021,5.6353468035,8.0557706871,10.3827802651,12.69500603,15.3434502651,16.2961468476,13.4388355424,9.3798023386,7.943537382,5.6009077911,3.8228212232,3.3043794349,2.9065263969,2.7450117373,2.4800664417,2.0933702999
25,0.4412132375,0.9537821849,1.3690374872,1.6330287368,2.0478537746,2.0768701624,1.9457166349,2.232474458,2.6468939201,2.4404604421,1.969056126,1.6185870266,1.1434692397,1.1501650119,0.8851258443,0.9437625421,0.7435348874,0.6814783673,0.6792597635,0.5749917707,0.6801488956
26,0.5070084696,0.5001998451,0.5119964589,0.5923796374,0.8254987167,1.2478254917,1.4469855042,1.5603223426,1.6000460815,1.8361710085,1.9388837672,2.1495584088,1.9281527684,1.6125107394,1.3950809326,1.186837765,1.0233406572,0.9843954622,0.8359766289,0.8792600107,0.8681292914
27,0.4339083866,0.429590926,0.4635681562,0.5943708321,1.1475143198,1.6559057531,2.2138390651,2.2679540873,2.5803837856,3.0792256159,3.1711621894,3.4030025402,2.886683144,2.0934598795,1.7958494514,1.4908972829,1.3953121337,1.2505183458,1.1489348788,1.0458556151,0.9248121167
28,0.8097919035,1.0336663307,1.2107161287,0.9652405119,1.126856645,1.3332799397,1.5176180395,1.4722649928,1.4219682827,1.5589492341,1.5480437335,1.2886717367,1.4095098593,1.2546191074,1.2062206315,1.5416943308,1.5042162921,1.5871374161,1.5710813753,1.5784512683,1.5007487592
29,5.4748834001,7.8833345349,9.3716669067,1.9115051697,1.9433066457,2.3141928798,2.6437569131,2.9966079891,3.2313208279,3.1926170704,4.4529240875,3.9689079397,3.195363902,2.3865551794,2.1176161081,1.7784656153,1.753074281,1.7531794686,1.907781963,2.0696743817,2.2884192408
30,0.3611194863,0.396937521,0.5486928924,1.2912020568,2.6365298757,3.3582621117,3.7010760863,3.7555457398,3.9050618096,3.6151147994,3.675920625,3.6725403332,2.9051458962,2.0579155704,1.5202177961,1.1555120875,0.998554657,0.9439648124,0.821243641,0.694658131,0.659670077
37,2.8943222639,4.6923025324,5.1294503804,8.5079587151,11.4225773031,15.5300780967,17.9156199965,19.6000226028,22.305734647,24.4951314515,22.9662886915,19.4921659495,18.9817354373,15.2236448642,10.8284496989,8.7903906937,6.7256977121,5.6520303885,3.952923596,2.933787423,2.3509776418
38,0.8803128529,0.9146370857,0.9085385858,0.9299374808,1.1637203601,1.5348644638,2.2539676877,3.3003617377,4.5963020589,6.4241355692,8.4925735361,10.7930464545,13.3321989085,13.0466589256,11.9226753667,8.8933346459,7.0039346218,8.2630360453,5.1639548205,6.0224413923,6.6734884153
39,0.8246465591,0.8421304082,0.9085999346,0.9867580586,1.1705568811,1.5817781131,2.1693109929,3.1324316951,3.6919309074,5.3153007872,7.3426484539,8.4291808994,10.7409077106,13.3775723875,11.9557173385,6.7872754533,5.1079574207,5.1057614712,3.7062256911,3.3806027597,2.515858318
40,1.0845467642,1.2354970783,1.4092664546,2.0735668536,2.8957331734,3.6188004013,4.6912432599,6.6185493429,9.2180519082,10.8088477486,13.3552813189,18.2305803566,17.5104418838,12.9084813092,8.1317083949,7.191134406,6.0758383195,5.3595993104,3.729104794,2.7296874284,2.0722586959
PATH_9_23/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2157041879,0.2371322419,0.3549361693,0.7573897395,1.4889373676,1.822378816,2.2940359489,2.7047316154,3.4879797117,3.6459344206,4.0982608034,4.134443305,4.1071636855,2.8624350808,1.6668117824,0.9981044882,0.5745619753,0.3397017302,0.2942082849,0.2736850434,0.2583300338
9,0.566827154,0.6850517715,1.0847061657,1.8398593625,2.8274609985,3.5102214802,4.3190226372,5.3522077282,6.6906373273,6.7676177066,4.5939909544,4.1452750161,3.626721729,2.9957335764,2.0681182488,1.379386914,1.1186237502,0.9461247338,0.8072375505,0.6989351674,0.5927234824
15,0.939693095,1.567022431,2.2897015573,3.8507919313,4.8626940246,5.4808941256,6.9918642702,6.7500599646,6.5696279649,6.188810564,5.2449669065,4.7704313754,3.6836876862,2.8421479795,2.0444022898,1.8205176109,0.8100340694,0.6851215774,0.5845485739,0.50612308,0.4292115328
16,1.3363846597,1.3501800483,1.765259937,2.4813628677,3.0998941094,4.3497046779,5.748551745,6.3820410032,7.4048704501,8.4684538917,10.5742093127,10.8848068796,10.4720306206,7.7832808521,5.5864719538,4.3506182118,2.9379379351,2.5558068149,2.1844145701,1.7775888393,1.5492142414
17,0.7210611499,0.7248204336,1.0592474121,1.4959607871,2.2982056524,3.1412118575,4.105463581,5.3906645332,6.7781802576,8.1582416962,9.2931602013,10.6731225205,9.7503059826,10.006337751,8.4462171565,4.8485450359,3.3126837695,2.6781564535,1.9834319798,1.3741820307,1.0277774624
18,1.183685266,1.4782259383,2.1838135393,3.4548625671,4.6553294354,5.7699457504,6.8227504235,8.0408329491,9.8436116218,10.6836301606,12.1567269919,13.4051998267,12.3803764964,11.0305939285,8.2232267315,5.8547463751,4.408095243,3.5216959532,2.7996934445,2.4353729988,2.0534471696
25,0.4584535369,1.1161567399,1.6157119799,2.1862773428,2.6751237759,2.6876909102,3.180275063,3.362485391,3.4045703975,3.4711078386,3.5791157462,2.9033280596,2.9340182445,1.9755887846,1.299352675,0.8734483204,0.6664897413,0.5755776949,0.5163921525,0.5878400267,0.5846064603
26,0.4679909495,0.4617062919,0.4873628693,0.5395626786,0.9593144905,1.3400456466,1.588330839,1.7834927808,1.8254082818,2.4117284221,2.4523179469,2.9171399819,3.0885251463,2.8074979517,2.5605028834,1.9441476952,1.1671252547,0.8555366707,0.7617832611,0.6640530766,0.5497436513
27,0.4320018852,0.4188529703,0.4618268107,0.7607082842,1.4616189237,2.1664170485,2.3487767794,2.6614861592,2.9291570144,3.1157337343,3.3484403599,3.5255437272,3.4360572755,3.6068494877,3.2435054476,2.3738774502,1.4014601722,1.0898114212,0.8876045589,0.7405301342,0.6538031598
28,0.7942396005,0.627275087,0.7181620067,0.7639750867,0.9018111947,1.1086243258,1.4319539363,1.7065604304,2.1368438429,2.1911574071,2.2275445956,2.2248508966,2.202030525,1.979412138,1.7362366058,1.7883794965,1.9127268625,1.8364785394,1.51548791,1.4975904351,1.4772724376
29,4.6238041869,6.0673854754,11.141064465,2.219623936,1.7059084487,2.2124661168,2.655087958,3.2184754456,3.323065776,3.7075370319,4.0372662145,4.1394700953,4.0812682404,3.6407794136,3.0242640824,1.9286259056,1.4998390215,1.5087293151,1.5112572498,1.7916050967,2.6115186756
30,0.377833973,0.4716772099,1.1270792988,1.5565309504,2.2358234525,3.172340347,3.5413201995,3.9570531544,4.4614757427,5.2076025948,5.143529903,4.8721221178,4.7620087966,4.1317026888,2.9416174858,1.2457522886,0.90621345,0.8668750722,0.5959310228,0.5212735369,0.465538559
37,2.4391499062,3.9768447639,5.8489319457,7.6801954276,10.2172639588,12.2941281954,14.4181217828,16.492195952,18.3293493334,19.9702672809,21.2141517402,21.9369274879,18.0209289405,10.1022350897,7.2604894223,6.1212179632,5.483381694,4.7814721662,4.3446050394,2.7671570163,2.6485429232
38,1.3634544633,1.1182908868,1.1719412077,1.2887999651,1.8597117932,2.268823751,2.9684250496,3.7818432605,5.0624549105,6.5667006739,8.8052798615,10.031915149,11.938775232,13.4719739765,12.9969085563,9.0827001869,7.1807334225,5.5172609135,5.1506302128,5.9035217441,5.4254946696
39,1.1042269756,0.9558784872,0.9926427189,1.4468308164,1.6143550395,1.8573031581,2.3027073067,3.1467038891,4.4213077376,5.6010020575,7.9796577381,9.440090062,10.6516575716,11.6111462523,10.7412935121,7.8903107594,4.4463143657,2.7119163374,2.5356342128,2.5985245114,2.1740543499
