SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
13,4.4857222556,8.7817615368,20.3256830967,35.3358752814,34.8509077035,36.7760622305,44.2876864249,31.0350317925,43.5357514567,74.8606282214,47.9993171299,66.9158614614,118.256728471,90.3891227053,51.3908248457,54.4341356093,60.0705203216,67.0803794982,51.1698362866,46.5415049613,33.2836647611
14,4.0632855632,6.4755287106,7.7692128299,16.4013268528,17.4173959924,31.7273440086,35.7940224853,57.1825184626,70.0607666583,62.359030869,67.0753988657,83.4274544891,64.0989432776,49.416463832,69.5692397499,81.4799397435,94.8205488376,113.607021157,103.507533549,86.1623734959,62.4034458058
15,3.7201036512,5.475783759,8.2261105859,8.3830160773,13.1743229318,13.0486384561,21.6278214523,37.3770411378,32.5816374355,50.2681366443,54.1708279456,72.2288414682,46.2256705865,46.2371806344,69.8633786453,85.6142059516,63.3189212952,60.1191237857,53.4852364882,61.4466070964,57.8546677464
16,9.7207239765,17.6915653179,20.047369158,20.3309530231,28.0898964358,30.4172229124,29.1746778468,26.4038266382,32.5069761287,40.6092036816,36.2453811078,47.6357992559,42.2433661061,36.2420390216,38.0353658453,47.1852411596,46.6278820842,44.8431526725,44.7308444468,43.740554872,50.9074658145
17,9.0425020969,23.2940079101,27.9981622385,18.7692395755,33.3458662162,38.5536264589,56.8878079754,66.1831730715,72.1399692255,48.4208376288,69.7070824543,63.5163007456,72.8695352871,55.1434014797,63.7379947977,40.3506373032,47.0102921158,47.4582641764,47.7126129386,45.3792080285,69.5655167286
18,10.3981422899,15.5332777959,31.1803424023,44.950495735,21.0984857449,17.2711162568,17.9516142533,27.5015947874,26.1491964308,33.464236158,38.4680692389,38.1955974517,48.7491514653,54.520569108,55.6265303439,58.4584668811,53.8971833014,36.8334725411,29.7974162607,28.3418738078,28.3227903941
19,7.3514725078,11.9726885525,18.2994766477,39.0660627725,38.8848224992,50.1836684992,29.5896727839,35.3212901482,37.7865293815,34.035616829,48.4580245329,32.6824707874,40.9303077612,31.8436405754,36.4015393083,37.6777066863,29.4928686902,23.0711810697,21.1342872364,16.6221090906,26.4330763152
20,9.6872306082,18.6958038246,18.9978153523,20.8697328581,32.8823194138,37.7621195311,39.1012272963,46.4368918253,72.2305960484,52.9985154116,62.2031497953,75.4069540214,79.2006003481,52.7817617847,39.2170725577,29.2580069614,39.1411026809,42.3480109828,25.609873123,19.7349249213,27.666758825
21,17.2278116487,23.4139188093,41.1182911149,37.1135847445,40.5197638749,41.8567479283,37.1731098636,21.5152918656,28.3016214322,33.5653187255,25.9370111484,28.9833912269,27.600007605,37.4293469253,41.1937522481,31.7896751432,23.6850452778,26.8623484553,25.4666267667,21.9881023612,32.689846547
22,2.971143297,6.9108074769,7.3329337742,11.333096511,16.67523986,14.7946265201,21.2727392525,16.0549897796,20.2547095697,23.7142075568,30.9450285596,30.9681431014,29.2223585928,29.5495413883,41.3709011003,30.1477295741,28.537304532,38.0075489281,34.0580311535,49.1768280087,33.0327293604
